Raiders of the Lost Ark,76699163,5965,"2,454","20,000",974
Syahrini's Metaverse Tour,76278034,1193,"3,304","18,000","2,668"
Dream Card Mystery Box II,75184053,1193,"3,807","30,000","7,092"
Drop Out Kids,75028320,2084120,36,5,1
Synchrony x SolRazr IDO NFTs,74194672,104206,180,7,6
SolNFTPad,73882054,0,980,265,67
Mechanic Wolf,72631582,0,810,56,34
RARA MetaForest Mining Farm 2,72394819,2386,"3,523","22,500","1,757"
MadTrooper,72423170,0,340,138,107
XWG Thanksgiving Limited,71311575,1193,"3,390","10,000","2,874"
Piggy Sol Gang,71172698,416824,105,14,12
Wild Wolves BoneYard,70547462,0,"1,875",869,408
Sol Bit Stars,70443256,0,"1,556",225,137
Dream Card V2 Mystery Box ¥±,68289706,1193,"3,261","20,000","1,571"
SolCity,67838106,0,398,237,80
Hash Land,67163514,29825,606,"60,682",429
Sam's Basketball Journey,66955932,2386,"3,401","12,500","2,162"
Thetan Genesis Mystery Box,65648404,35790,448,"2,000",398
Gaia Warriors,65257100,226670,220,"10,000",65
Spirit4,65128750,104206,86,74,27
TOWER Mystery Box,64630775,1193,"2,233","15,000","4,769"
Solana Penguins,63982484,0,"2,342",573,338
Scalp Empire,63148836,208412,418,2,2
Women's Pride,62627806,104206,376,64,21
Shapes of Reality,62315188,2709356,28,7,4
LFW Mystery Box,59672667,4772,"1,736","10,000","2,515"
Seascape Zombie Fighter Mystery Box,59555753,9544,"1,000","20,000","2,256"
BabyApes,58042742,104206,222,3,2
Bankrupt Ape Club,57730124,0,"1,122",188,136
Baby Polymons,56498094,7158,"1,072","25,000","4,090"
TopGoal,56220125,0,3,6,0
We Are The Walrus - WATW,55646004,104206,250,57,40
DeHero Card Pack,54743191,5965,"1,573","10,000","1,863"
TROLLz,53978708,0,398,264,157
Team Tuskers,53770296,0,308,134,85
Meta Panda Squad,53561884,104206,436,45,32
Lunaroid,53145060,0,375,39,35
Cryptic Snakes,52832442,1042060,722,4,3
Yolo Parrots,52682880,1097560,48,"7,964",11
The First 100,52728236,416824,105,85,20
Degen Lizzy,52624030,0,325,96,77
Billionaire Whale Club,52311412,0,"2,159",249,167
DeHorizon,52004063,118107,72,608,262
Crazy Lizard Army,50692956,220705,131,"10,000",80
Skully Boys,50644116,0,192,133,89
CryptoFans,50435704,104206,94,34,17
Vox Punks Club,50435704,0,216,65,43
TamaKo - Origins,50123086,0,441,41,35
NGen Arts,49081026,0,548,112,44
Silver TOWER Tickets,48856929,238600,33,300,178
Crypto Astronuts,48976820,0,788,331,245
Aliens VS People,48351584,0,571,187,121
Foxtopia Genesis,47934760,0,402,8,7
KnitPunks SOL,47726348,104206,276,26,6
Red Panda Squad,47309524,0,106,30,27
Faceless NFT,46788494,0,980,577,359
X World Games Mystery Box,46280049,1193,"2,296","20,000","4,808"
